date,commodity
4/26/2019,1058.57
4/25/2019,1060.72
4/24/2019,1062.61
4/23/2019,1067.12
4/22/2019,1069.36
4/19/2019,1065.17
4/18/2019,1061.83
4/17/2019,1075.57
4/16/2019,1082.76
4/15/2019,1089.09
4/12/2019,1092
4/11/2019,1092.12
4/10/2019,1090.17
4/9/2019,1091.09
4/8/2019,1096.32
4/4/2019,1078.34
4/3/2019,1081
4/2/2019,1070.93
4/1/2019,1069.85
3/29/2019,1060.16
3/28/2019,1053.92
3/27/2019,1061.66
3/26/2019,1060.68
3/25/2019,1060.38
3/22/2019,1072.93
3/21/2019,1067.27
3/20/2019,1065.23
3/19/2019,1071.03
3/18/2019,1067.11
3/15/2019,1069.95
3/14/2019,1072.13
3/13/2019,1068.81
3/12/2019,1071.34
3/11/2019,1065.19
3/8/2019,1071.32
3/7/2019,1076.41
3/6/2019,1077.97
3/5/2019,1077.18
3/4/2019,1085.72
3/1/2019,1094.33
2/28/2019,1076.27
2/27/2019,1073.95
2/26/2019,1077.91
2/25/2019,1083.65
2/22/2019,1087.04
2/21/2019,1081.73
2/20/2019,1085.42
2/19/2019,1084.23
2/18/2019,1080.83
2/15/2019,1071.63
2/14/2019,1079.77
2/13/2019,1077.29
2/12/2019,1088.06
2/11/2019,1090.36
2/1/2019,1087.02
1/31/2019,1077.35
1/30/2019,1069.31
1/29/2019,1060.31
1/28/2019,1069.96
1/25/2019,1069.67
1/24/2019,1067.05
1/23/2019,1064.22
1/22/2019,1065.33
1/21/2019,1070.38
1/18/2019,1069.82
1/17/2019,1051.43
1/16/2019,1054.5
1/15/2019,1051.83
1/14/2019,1052.23
1/11/2019,1053.77
1/10/2019,1046.8
1/9/2019,1046.16
1/8/2019,1040.45
1/7/2019,1046.88
1/4/2019,1039.48
1/3/2019,1035.17
1/2/2019,1019.58
12/28/2018,1025.67
12/27/2018,1036.67
12/26/2018,1033.45
12/25/2018,1039.91
12/24/2018,1051.71
12/21/2018,1064.56
12/20/2018,1067.68
12/19/2018,1062.74
12/18/2018,1069.57
12/17/2018,1078.94
12/14/2018,1076.84
12/13/2018,1081.13
12/12/2018,1074.4
12/11/2018,1071.92
12/10/2018,1084.44
12/7/2018,1107.39
12/6/2018,1089.22
12/5/2018,1103.56
12/4/2018,1094.16
12/3/2018,1086.34
11/30/2018,1069.7
11/29/2018,1070.74
11/28/2018,1075.81
11/27/2018,1064.46
11/26/2018,1074.43
11/23/2018,1090.93
11/22/2018,1102.2
11/21/2018,1116.49
11/20/2018,1116.84
11/19/2018,1130.34
11/16/2018,1141.74
11/15/2018,1128.84
11/14/2018,1124.75
11/13/2018,1118.87
11/12/2018,1126.62
11/9/2018,1129.18
11/8/2018,1146.76
11/7/2018,1140.93
11/6/2018,1149.16
11/5/2018,1148.22
11/2/2018,1140.1
11/1/2018,1139.22
10/31/2018,1150.96
10/30/2018,1153.51
10/29/2018,1155.14
10/26/2018,1164.84
10/25/2018,1170.18
10/24/2018,1169.43
10/23/2018,1157.24
10/22/2018,1161.28
10/19/2018,1155.1
10/18/2018,1167.07
10/17/2018,1185.45
10/16/2018,1165.69
10/15/2018,1177.21
10/12/2018,1188.05
10/11/2018,1171.7
10/10/2018,1183.85
10/9/2018,1175.26
10/8/2018,1148.93
9/28/2018,1133.52
9/27/2018,1130.06
9/26/2018,1144.58
9/25/2018,1141.49
9/21/2018,1154.06
9/20/2018,1147.42
9/19/2018,1150.76
9/18/2018,1145.41
9/17/2018,1143.12
9/14/2018,1141.88
9/13/2018,1142.59
9/12/2018,1140.25
9/11/2018,1150.27
9/10/2018,1165.31
9/7/2018,1157.86
9/6/2018,1156.28
9/5/2018,1154.92
9/4/2018,1153.36
9/3/2018,1160.42
8/31/2018,1166.85
8/30/2018,1182.16
8/29/2018,1195.7
8/28/2018,1196.36
8/27/2018,1179.87
8/24/2018,1190.54
8/23/2018,1184.66
8/22/2018,1206.69
8/21/2018,1202.16
8/20/2018,1214.22
8/17/2018,1212.83
8/16/2018,1190.6
8/15/2018,1177.85
8/14/2018,1179.8
8/13/2018,1177.52
8/10/2018,1168.24
8/9/2018,1168.08
8/8/2018,1169.23
8/7/2018,1172.27
8/6/2018,1170.79
8/3/2018,1152.3
8/2/2018,1136.83
8/1/2018,1129.59
7/31/2018,1129.21
7/30/2018,1128.06
7/27/2018,1120.81
7/26/2018,1104.56
7/25/2018,1104.52
7/24/2018,1091.13
7/23/2018,1091.83
7/20/2018,1082.25
7/19/2018,1079.65
7/18/2018,1065.41
7/17/2018,1067.9
7/16/2018,1071.8
7/13/2018,1073.8
7/12/2018,1082.84
7/11/2018,1070.17
7/10/2018,1074.62
7/9/2018,1072.94
7/6/2018,1067.92
7/5/2018,1066.27
7/4/2018,1074.66
7/3/2018,1076.08
7/2/2018,1077.18
6/29/2018,1090.04
6/28/2018,1079.38
6/27/2018,1070.67
6/26/2018,1067.26
6/25/2018,1071.26
6/22/2018,1076.01
6/21/2018,1074.19
6/20/2018,1077.6
6/19/2018,1071.16
6/15/2018,1101.82
6/14/2018,1098.84
6/13/2018,1090.87
6/12/2018,1092.12
6/11/2018,1081.75
6/8/2018,1076.07
6/7/2018,1088.08
6/6/2018,1081.97
6/5/2018,1079.42
6/4/2018,1082.19
6/1/2018,1087.51
5/31/2018,1081.99
5/30/2018,1073.5
5/29/2018,1079.03
5/28/2018,1061.31
5/25/2018,1062.66
5/24/2018,1064.05
5/23/2018,1059.72
5/22/2018,1068.54
5/21/2018,1074.85
5/18/2018,1077.28
5/17/2018,1075.63
5/16/2018,1075.45
5/15/2018,1075.32
5/14/2018,1067.73
5/11/2018,1068.46
5/10/2018,1055.09
5/9/2018,1051.36
5/8/2018,1056.02
5/7/2018,1062.9
5/4/2018,1053.79
5/3/2018,1052.63
5/2/2018,1057.19
4/27/2018,1040.36
4/26/2018,1040.54
4/25/2018,1046.57
4/24/2018,1046.67
4/23/2018,1051.05
4/20/2018,1035.27
4/19/2018,1048.41
4/18/2018,1035.15
4/17/2018,1028.34
4/16/2018,1020.72
4/13/2018,1030.67
4/12/2018,1026.68
4/11/2018,1032.11
4/10/2018,1033.97
4/9/2018,1033.43
4/4/2018,1026.97
4/3/2018,1029.24
4/2/2018,1033.25
3/30/2018,1034.2
3/29/2018,1020.02
3/28/2018,1015.47
3/27/2018,1022.49
3/26/2018,1017.49
3/23/2018,1024.59
3/22/2018,1046.07
3/21/2018,1053.76
3/20/2018,1049.04
3/19/2018,1056.02
3/16/2018,1058.61
3/15/2018,1060.74
3/14/2018,1067.94
3/13/2018,1056.36
3/12/2018,1057.06
3/9/2018,1058.42
3/8/2018,1074.96
3/7/2018,1086.46
3/6/2018,1094.69
3/5/2018,1095.59
3/2/2018,1108.62
3/1/2018,1112.75
2/28/2018,1110.36
2/27/2018,1117.22
2/26/2018,1120.18
2/23/2018,1107.07
2/22/2018,1087.62
2/14/2018,1081.79
2/13/2018,1075.29
2/12/2018,1075.74
2/9/2018,1079.05
2/8/2018,1090.25
2/7/2018,1095.84
2/6/2018,1094.48
2/5/2018,1100.06
2/2/2018,1094.18
2/1/2018,1083.92
1/31/2018,1089.92
1/30/2018,1091.38
1/29/2018,1104.53
1/26/2018,1100.51
1/25/2018,1111.26
1/24/2018,1095.59
1/23/2018,1095.69
1/22/2018,1103.92
1/19/2018,1101.32
1/18/2018,1094.17
1/17/2018,1091.84
1/16/2018,1092.51
1/15/2018,1103.17
1/12/2018,1103.86
1/11/2018,1108.69
1/10/2018,1109.05
1/9/2018,1109.76
1/8/2018,1113.12
1/5/2018,1105.81
1/4/2018,1112.07
1/3/2018,1097.96
1/2/2018,1099.26
12/29/2017,1094.3
12/28/2017,1092.08
12/27/2017,1092.72
12/26/2017,1095.37
12/25/2017,1093.85
12/22/2017,1110.39
12/21/2017,1105.87
12/20/2017,1108.4
12/19/2017,1109.08
12/18/2017,1119.28
12/15/2017,1099.42
12/14/2017,1094.71
12/13/2017,1107.34
12/12/2017,1110.19
12/11/2017,1101.47
12/8/2017,1101.21
12/7/2017,1090.33
12/6/2017,1123.71
12/5/2017,1134.28
12/4/2017,1147.03
12/1/2017,1131.41
11/30/2017,1126.01
11/29/2017,1113.74
11/28/2017,1110.92
11/27/2017,1108.18
11/24/2017,1115.98
11/23/2017,1105.63
11/22/2017,1104.7
11/21/2017,1091.65
11/20/2017,1084.45
11/17/2017,1073.04
11/16/2017,1069.5
11/15/2017,1072.56
11/14/2017,1093.87
11/13/2017,1094.12
11/10/2017,1088.83
11/9/2017,1087.85
11/8/2017,1084.25
11/7/2017,1086.49
11/6/2017,1086.83
11/3/2017,1067.82
11/2/2017,1071.68
11/1/2017,1058.52
10/31/2017,1058.47
10/30/2017,1054.54
10/27/2017,1056.43
10/26/2017,1071.07
10/25/2017,1071.09
10/24/2017,1071.23
10/23/2017,1067.45
10/20/2017,1077.91
10/19/2017,1054.56
10/18/2017,1070.45
10/17/2017,1077.44
10/16/2017,1091.77
10/13/2017,1086.6
10/12/2017,1068.61
10/11/2017,1052.66
10/10/2017,1055.42
10/9/2017,1069.44
9/29/2017,1074.06
9/28/2017,1063.37
9/27/2017,1083.73
9/26/2017,1080.35
9/25/2017,1078.32
9/22/2017,1072.13
9/21/2017,1088.78
9/20/2017,1113.49
9/19/2017,1103.57
9/18/2017,1112.64
9/15/2017,1120.86
9/14/2017,1136.38
9/13/2017,1146.96
9/12/2017,1161.91
9/11/2017,1150.2
9/8/2017,1145.17
9/7/2017,1149.11
9/6/2017,1153.81
9/5/2017,1162.42
9/4/2017,1158.96
9/1/2017,1159.58
8/31/2017,1144.53
8/30/2017,1141.41
8/29/2017,1146.38
8/28/2017,1159.45
8/25/2017,1162.44
8/24/2017,1148.66
8/23/2017,1140.32
8/22/2017,1151.62
8/21/2017,1149.33
8/18/2017,1131.38
8/17/2017,1131.16
8/16/2017,1095.87
8/15/2017,1099.63
8/14/2017,1098.07
8/11/2017,1107.47
8/10/2017,1117.88
8/9/2017,1122.02
8/8/2017,1099.04
8/7/2017,1098.01
8/4/2017,1086.99
8/3/2017,1078.46
8/2/2017,1081.74
8/1/2017,1070.12
7/31/2017,1079.18
7/28/2017,1052.97
7/27/2017,1060.35
7/26/2017,1054.22
7/25/2017,1059.91
7/24/2017,1048.05
7/21/2017,1057.86
7/20/2017,1051.37
7/19/2017,1066.5
7/18/2017,1050.74
7/17/2017,1051.24
7/14/2017,1036.07
7/13/2017,1049.81
7/12/2017,1041.63
7/11/2017,1039.97
7/10/2017,1022.92
7/7/2017,1020.24
7/6/2017,1016.9
7/5/2017,1013.77
7/4/2017,1005.3
7/3/2017,1017.17
6/30/2017,1007.34
6/29/2017,1006.09
6/28/2017,993.28
6/27/2017,988.75
6/26/2017,979.15
6/23/2017,976.84
6/22/2017,970.64
6/21/2017,972.64
6/20/2017,975.31
6/19/2017,975.78
6/16/2017,966.43
6/15/2017,961.85
6/14/2017,966.04
6/13/2017,949.35
6/12/2017,962.96
6/9/2017,954.88
6/8/2017,951.87
6/7/2017,950.69
6/6/2017,948.15
6/5/2017,946.62
6/2/2017,945.31
6/1/2017,950.82
5/31/2017,948.71
5/26/2017,978.7
5/25/2017,982.23
5/24/2017,983.79
5/23/2017,996.67
5/22/2017,999.9
5/19/2017,991.03
5/18/2017,977.94
5/17/2017,983.42
5/16/2017,971.38
5/15/2017,969.68
5/12/2017,962.09
5/11/2017,973.61
5/10/2017,968.82
5/9/2017,964.68
5/8/2017,961.99
5/5/2017,958.04
5/4/2017,970.18
5/3/2017,996.97
5/2/2017,1000.97
4/28/2017,991.44
4/27/2017,985.25
4/26/2017,979.96
4/25/2017,981.33
4/24/2017,985.62
4/21/2017,990.97
4/20/2017,987.36
4/19/2017,979.11
4/18/2017,981.45
4/17/2017,994.94
4/14/2017,993.15
4/13/2017,994.47
4/12/2017,985.92
4/11/2017,1005.97
4/10/2017,1012.62
4/7/2017,1010.46
4/6/2017,1033.56
4/5/2017,1030.06
3/31/2017,1023.53
3/30/2017,1019.73
3/29/2017,1024.99
3/28/2017,1007.76
3/27/2017,1002.9
3/24/2017,1024.52
3/23/2017,1030.03
3/22/2017,1024.31
3/21/2017,1040.54
3/20/2017,1049.63
3/17/2017,1047.7
3/16/2017,1053.29
3/15/2017,1043.86
3/14/2017,1035.32
3/13/2017,1040.93
3/10/2017,1028.05
3/9/2017,1030.07
3/8/2017,1051.35
3/7/2017,1074.66
3/6/2017,1077.55
3/3/2017,1083.15
3/2/2017,1087.73
3/1/2017,1086.25
2/28/2017,1073.32
2/27/2017,1076.07
2/24/2017,1070.23
2/23/2017,1071.21
2/22/2017,1085.84
2/21/2017,1096.7
2/20/2017,1095.78
2/17/2017,1089.09
2/16/2017,1092.59
2/15/2017,1098.43
2/14/2017,1115.76
2/13/2017,1111.94
2/10/2017,1079.48
2/9/2017,1070.58
2/8/2017,1074.17
2/7/2017,1063.92
2/6/2017,1059.59
2/3/2017,1055.75
1/26/2017,1066.85
1/25/2017,1055.51
1/24/2017,1053.11
1/23/2017,1048.98
1/20/2017,1035.06
1/19/2017,1058.57
1/18/2017,1058.68
1/17/2017,1058.39
1/16/2017,1076.22
1/13/2017,1059.34
1/12/2017,1056.78
1/11/2017,1061.23
1/10/2017,1049.65
1/9/2017,1038.21
1/6/2017,1021.03
1/5/2017,1028.96
1/4/2017,1027.44
1/3/2017,1030.2
12/30/2016,1029.15
12/29/2016,1036.07
12/28/2016,1028.09
12/27/2016,1020.72
12/26/2016,1005.4
12/23/2016,1043.29
12/22/2016,1038.71
12/21/2016,1061.31
12/20/2016,1054.26
12/19/2016,1070.85
12/16/2016,1091
12/15/2016,1100.58
12/14/2016,1097.95
12/13/2016,1103.21
12/12/2016,1095.01
12/9/2016,1095.13
12/8/2016,1092.64
12/7/2016,1110.31
12/6/2016,1093.75
12/5/2016,1091.58
12/2/2016,1070.44
12/1/2016,1078.03
11/30/2016,1060
11/29/2016,1086.4
11/28/2016,1131.77
11/25/2016,1100.15
11/24/2016,1095.69
11/23/2016,1068.71
11/22/2016,1075.15
11/21/2016,1053.89
11/18/2016,1036.07
11/17/2016,1036.2
11/16/2016,1050.08
11/15/2016,1030.96
11/14/2016,1048.96
11/11/2016,1086.92
11/10/2016,1059.44
11/9/2016,1016.91
11/8/2016,1002.25
11/7/2016,990.92
11/4/2016,957.58
11/3/2016,959.96
11/2/2016,949.81
11/1/2016,961.48
10/31/2016,960.7
10/28/2016,952.5
10/27/2016,939.9
10/26/2016,939.7
10/25/2016,942.05
10/24/2016,927.92
10/21/2016,918.59
10/20/2016,925.48
10/19/2016,922.8
10/18/2016,930.95
10/17/2016,927.89
10/14/2016,924.08
10/13/2016,921.64
10/12/2016,929.92
10/11/2016,935.17
10/10/2016,925.36
9/30/2016,919.64
9/29/2016,921.31
9/28/2016,920.49
9/27/2016,924.68
9/26/2016,921.77
9/23/2016,925.36
9/22/2016,919.5
9/21/2016,911.5
9/20/2016,911.39
9/19/2016,901.73
9/14/2016,890.01
9/13/2016,893.9
9/12/2016,886.66
9/9/2016,904.94
9/8/2016,903.26
9/7/2016,903.92
9/6/2016,903.04
9/5/2016,898.31
9/2/2016,897.21
9/1/2016,891.54
8/31/2016,884.78
8/30/2016,888.03
8/29/2016,891.61
8/26/2016,892.16
8/25/2016,892.57
8/24/2016,907.36
8/23/2016,911.28
8/22/2016,908.28
8/19/2016,917.89
8/18/2016,917.37
8/17/2016,913.95
8/16/2016,915.25
8/15/2016,910.64
8/12/2016,920.76
8/11/2016,921.69
8/10/2016,925.61
8/9/2016,920.74
8/8/2016,926.05
8/5/2016,920.78
8/4/2016,914.14
8/3/2016,916.23
8/2/2016,923.35
8/1/2016,922.62
7/29/2016,904.08
7/28/2016,914.92
7/27/2016,908.18
7/26/2016,907.06
7/25/2016,914.43
7/22/2016,917.64
7/21/2016,929.6
7/20/2016,921.94
7/19/2016,923.66
7/18/2016,916.62
7/15/2016,928.51
7/14/2016,931.48
7/13/2016,925.22
7/12/2016,913.03
7/11/2016,902.24
7/8/2016,885.43
7/7/2016,893.98
7/6/2016,903.8
7/5/2016,921.6
7/4/2016,927.57
7/1/2016,896.95
6/30/2016,895.61
6/29/2016,884.04
6/28/2016,881.46
6/27/2016,870.04
6/24/2016,851.85
6/23/2016,861.4
6/22/2016,863.77
6/21/2016,852.3
6/20/2016,853.4
6/17/2016,850.2
6/16/2016,841.48
6/15/2016,842.32
6/14/2016,838.74
6/13/2016,843.39
6/8/2016,836.04
6/7/2016,842
6/6/2016,845.82
6/3/2016,833.91
6/2/2016,827.3
6/1/2016,822.15
5/31/2016,833.15
5/30/2016,833.09
5/27/2016,830.99
5/26/2016,832.01
5/25/2016,818.96
5/24/2016,816.75
5/23/2016,817.84
5/20/2016,829.43
5/19/2016,827.28
5/18/2016,830.76
5/17/2016,840.85
5/16/2016,833.39
5/13/2016,830.81
5/12/2016,849.05
5/11/2016,844.44
5/10/2016,840.38
5/9/2016,838.87
5/6/2016,853.88
5/5/2016,866.44
5/4/2016,874.2
5/3/2016,888.47
4/29/2016,878.47
4/28/2016,869.75
4/27/2016,877.91
4/26/2016,878.04
4/25/2016,884.53
4/22/2016,880.59
4/21/2016,894.15
4/20/2016,872.46
4/19/2016,861.02
4/18/2016,853.69
4/15/2016,850.04
4/14/2016,854.45
4/13/2016,850.67
4/12/2016,835.07
4/11/2016,829.61
4/8/2016,821.88
4/7/2016,833.32
4/6/2016,833.05
4/5/2016,832.85
4/1/2016,837.99
3/31/2016,831.39
3/30/2016,833.64
3/29/2016,843.24
3/28/2016,843.52
3/25/2016,848.89
3/24/2016,843.23
3/23/2016,851.41
3/22/2016,852.91
3/21/2016,852.35
3/18/2016,857.71
3/17/2016,846.02
3/16/2016,836.88
3/15/2016,832.4
3/14/2016,841.18
3/11/2016,842.29
3/10/2016,835.25
3/9/2016,838.98
3/8/2016,850.34
3/7/2016,858.37
3/4/2016,849.16
3/3/2016,830.45
3/2/2016,827.24
3/1/2016,813.07
2/29/2016,808.2
2/26/2016,809.69
2/25/2016,813.09
2/24/2016,813.82
2/23/2016,819.95
2/22/2016,822.27
2/19/2016,812.04
2/18/2016,806.17
2/17/2016,802.55
2/16/2016,807.58
2/15/2016,806.99
2/5/2016,819.03
2/4/2016,823.29
2/3/2016,811.68
2/2/2016,811.11
2/1/2016,807.08
1/29/2016,810.56
1/28/2016,810.74
1/27/2016,816.5
1/26/2016,803.26
1/25/2016,802.6
1/22/2016,806.97
1/21/2016,798.56
1/20/2016,802.55
1/19/2016,808.88
1/18/2016,800.45
1/15/2016,791.97
1/14/2016,792.21
1/13/2016,787.96
1/12/2016,784.5
1/11/2016,791.39
1/8/2016,805.5
1/7/2016,808.09
1/6/2016,813.51
