date	volume	turnover	open_interest
12/2/2019	240596	27170545.54	445737
12/3/2019	251802	28535848.55	461339
12/4/2019	252050	29433157.12	452179
12/5/2019	259137	28268544.96	474846
12/6/2019	242849	26910984.21	461391
12/9/2019	262358	31154772.7	466560
12/10/2019	236531	26256539.41	464119
12/11/2019	249515	28140200.09	469777
12/12/2019	219376	24610628.06	463239
12/13/2019	318241	36114726.89	494728
12/16/2019	288053	32885464.1	474813
12/17/2019	371185	41748129.48	510480
12/18/2019	307144	34944182.66	489986
12/19/2019	290562	34439741.72	483656
12/20/2019	313975	35672493.35	472687
12/23/2019	333510	35513084.48	491682
12/24/2019	245098	26544293.22	478240
12/25/2019	261977	28923075.25	493408
12/26/2019	290407	32030131.2	495824
12/27/2019	338666	36386397.62	516274
12/30/2019	340458	36169968.5	522822
12/31/2019	268849	29529799.8	507615
